station_std_id,1_code,2_code,3_code,4_code,5_code,1_ratio,2_ratio,3_ratio,4_ratio,5_ratio,building_cnt,area
108000181,1,2,11,5,6,0.49789,0.16953,0.09856,0.09758,0.03806,2153,915287.7
108000182,1,2,5,11,4,0.4433,0.17782,0.12708,0.11004,0.03515,1713,819731.4
108000183,1,11,38,4,2,0.49674,0.177,0.14719,0.12632,0.03967,378,453398.2
108000184,38,1,2,3,8,0.46377,0.25986,0.1573,0.05931,0.01631,2530,2392550.4
108000185,1,11,2,6,4,0.64685,0.20765,0.05653,0.03394,0.02994,606,851974.0
108000186,1,11,4,2,6,0.68199,0.1792,0.04962,0.04049,0.02707,571,987255.5
108000187,1,11,2,4,6,0.49724,0.17453,0.11444,0.04702,0.03458,1593,1013640.1
108000188,1,11,2,4,6,0.48272,0.18967,0.10939,0.04969,0.0257,1224,932753.8
108000189,1,2,11,5,6,0.50418,0.17746,0.09739,0.08425,0.02856,3147,1281407.2
108000190,197,1,2,3,8,0.43882,0.40095,0.12431,0.0085,0.00663,1271,933959.3
108000192,1,23,6,4,3,0.71746,0.26415,0.01294,0.00481,0.00033,98,672932.7
108000193,1,2,4,3,6,0.72585,0.14356,0.09727,0.00866,0.00827,807,401391.5
108000194,1,4,2,11,3,0.65344,0.14073,0.12984,0.0421,0.01141,962,530016.2
108000195,1,2,4,38,11,0.57464,0.11239,0.08606,0.07202,0.03668,1226,723555.5
108000196,1,4,2,6,3,0.56761,0.30182,0.10664,0.00768,0.00545,1996,994118.1
108000198,1,23,4,2,6,0.69657,0.17902,0.05947,0.03066,0.02329,1026,992908.9
108000199,1,2,4,3,6,0.76592,0.15396,0.03714,0.01117,0.01067,638,311277.1
108000200,1,11,4,2,6,0.54456,0.28332,0.07334,0.04782,0.03803,436,623730.9
108000203,11,4,2,6,1,0.5615,0.14519,0.11387,0.06981,0.06736,208,315077.8
108000204,1,11,2,4,6,0.56001,0.16743,0.09536,0.04011,0.02103,2392,1263233.1
108000205,1,11,2,4,6,0.58538,0.19017,0.07493,0.02693,0.01069,2057,1111110.6
108000339,1,2,5,11,8,0.4611,0.20174,0.14658,0.04879,0.04053,1669,710703.3
108000364,1,2,5,11,8,0.30425,0.20417,0.1721,0.14902,0.04624,1202,605321.0
108000365,1,4,2,14,27,0.4755,0.45378,0.05743,0.00446,0.00282,1053,650035.9
108000367,1,23,11,4,2,0.60453,0.12782,0.12722,0.05392,0.04605,1474,1390638.0
108000368,1,23,11,2,6,0.56489,0.1524,0.15168,0.05815,0.03037,1244,1166354.3
108000369,1,2,4,11,5,0.55967,0.14517,0.09574,0.04721,0.04069,5806,2725360.4
108000371,197,1,2,4,10,0.68191,0.2263,0.03948,0.02315,0.01475,454,601013.1
108000372,197,1,2,4,29,0.66524,0.23127,0.06162,0.02263,0.00464,517,616072.0
108000373,11,2,9,4,1,0.75681,0.05779,0.05334,0.05004,0.02277,67,207815.9
108000375,1,\N,\N,\N,\N,1,\N,\N,\N,\N,4,796.8
108000376,1,38,2,4,3,0.42998,0.23969,0.17009,0.05206,0.0345,7170,4629285.9
108000377,1,38,2,3,4,0.38218,0.32706,0.18486,0.04001,0.0186,4628,3392578.8
108000378,38,1,2,3,6,0.50874,0.22794,0.15276,0.06102,0.01441,2094,2181077.4
108000379,1,4,2,23,11,0.56503,0.12433,0.10992,0.06525,0.03647,871,397066.6
108000381,1,4,2,3,6,0.73969,0.08811,0.08188,0.028,0.02493,1504,666782.7
108000382,1,2,4,11,12,0.65183,0.13676,0.12861,0.03288,0.02018,1230,678726.1
108505400,1,\N,\N,\N,\N,1,\N,\N,\N,\N,1,245.0
108900001,1,2,4,\N,\N,0.9201,0.05799,0.02191,\N,\N,212,106532.5
108900002,1,2,3,8,6,0.4325,0.24586,0.24397,0.04672,0.01141,897,576331.4
108900003,38,1,2,3,4,0.4068,0.34214,0.18281,0.02435,0.01323,3357,2727642.2
108900004,1,2,11,5,4,0.48067,0.1574,0.09377,0.07828,0.02445,3170,1330814.2
108900005,1,2,11,5,4,0.46386,0.15447,0.10101,0.08433,0.02634,2743,1235384.4
108900006,11,1,38,4,2,0.30502,0.18889,0.11618,0.11589,0.06119,186,574445.3
108900007,11,1,2,4,19,0.42672,0.15373,0.08714,0.03258,0.02296,148,368570.6
108900008,11,1,2,4,6,0.48745,0.13623,0.03554,0.03223,0.01774,91,322652.2
108900009,11,2,9,4,1,0.51073,0.0544,0.036,0.03377,0.02107,90,307943.6
108900010,11,1,2,9,4,0.44779,0.13578,0.0487,0.03156,0.02961,107,351232.8
108900011,11,1,2,19,6,0.44835,0.16152,0.07122,0.02412,0.01632,130,350793.4
108900012,11,1,38,2,19,0.49952,0.13158,0.11533,0.06034,0.01462,174,578652.4
108900013,11,1,38,4,2,0.44424,0.1245,0.10047,0.08321,0.07566,212,664242.3
108900014,1,38,11,4,2,0.35068,0.15944,0.14887,0.13917,0.08451,304,418554.2
108900015,4,1,10,2,6,0.4805,0.40498,0.06681,0.02212,0.0131,176,135983.1
108900016,1,4,2,10,6,0.59276,0.25862,0.06172,0.04685,0.01191,567,304372.6
108900017,1,38,12,2,4,0.47249,0.20715,0.1787,0.05479,0.05151,92,251560.6
108900018,1,38,12,4,3,0.57368,0.24151,0.05269,0.05044,0.04193,83,215768.8
108900019,1,11,38,4,2,0.4671,0.13835,0.11505,0.11036,0.08332,523,580064.8
108900020,1,38,2,4,3,0.54236,0.18695,0.1099,0.03875,0.03241,184,278743.7
108900021,1,2,3,83,7,0.43612,0.24506,0.07818,0.06961,0.06942,168,121239.1
108900022,1,4,6,2,27,0.62111,0.18031,0.0948,0.0773,0.0265,113,27222.6
108900023,1,4,2,27,10,0.72261,0.17605,0.07547,0.02587,0,122,27881.0
108900024,1,11,12,2,6,0.50518,0.23632,0.12738,0.07027,0.01972,271,263668.9
108900025,1,11,12,6,2,0.57833,0.242,0.13044,0.01413,0.01366,287,257482.8
108900026,1,197,2,4,3,0.40585,0.40055,0.09359,0.07978,0.00695,1353,1023182.6
108900027,65,1,74,4,2,0.69145,0.18869,0.06859,0.02715,0.02013,189,180767.1
108900028,1,11,2,4,6,0.71983,0.23518,0.02544,0.01089,0.00589,377,264945.8
108900029,1,23,11,4,2,0.59594,0.1379,0.13725,0.05988,0.03254,1379,1289022.1
108900030,1,27,4,2,7,0.57586,0.34318,0.04818,0.03278,0,159,75468.1
108900031,1,11,4,2,6,0.69704,0.21993,0.05087,0.02666,0.00551,391,283320.1
108900032,1,4,11,2,6,0.5445,0.1874,0.16876,0.09226,0.00312,896,491516.9
108900033,1,27,2,4,10,0.76358,0.18112,0.02987,0.02543,0,297,142992.5
108900034,1,\N,\N,\N,\N,1,\N,\N,\N,\N,100,38882.0
108900035,1,4,2,6,\N,0.86873,0.09927,0.032,0,\N,284,145174.0
108900036,1,2,3,4,11,0.52544,0.18964,0.13716,0.04444,0.02599,2254,1171467.5
108900037,1,65,4,11,2,0.47603,0.16505,0.12476,0.11989,0.07104,1176,757306.9
108900038,1,27,2,3,\N,0.80573,0.13381,0.05868,0.00179,\N,442,193556.6
108900039,1,4,2,\N,\N,0.96838,0.02174,0.00988,\N,\N,78,46481.4
108900040,1,2,4,10,\N,0.9227,0.04381,0.03322,0.00027,\N,182,88979.5
108900041,1,2,3,11,8,0.50613,0.19986,0.1503,0.02959,0.02638,1844,1029123.3
108900042,1,2,4,3,6,0.74224,0.13821,0.09031,0.00758,0.00724,876,458720.1
108900043,1,65,4,11,2,0.49437,0.14719,0.1302,0.10691,0.0774,1387,849187.6
108900044,1,65,27,2,4,0.53894,0.32565,0.06748,0.05531,0.00802,645,383816.1
108900045,1,2,4,11,6,0.97211,0.01119,0.01042,0.00399,0.0023,269,91759.3
108900046,1,2,4,7,3,0.84627,0.08905,0.04262,0.01231,0.00351,942,372769.5
108900047,1,33,4,7,6,0.73861,0.24509,0.01213,0.00362,0.00041,196,78786.3
108900048,1,11,2,4,6,0.80812,0.10456,0.06169,0.01574,0.0099,306,170439.4
108900049,1,2,11,5,4,0.39297,0.19179,0.15139,0.12638,0.03592,1628,824281.5
108900050,1,2,4,10,\N,0.93303,0.03633,0.03043,0.00022,\N,204,111473.0
108900051,1,2,7,4,6,0.96245,0.03303,0.00314,0.00102,0.00035,256,90664.2
108900052,1,11,2,4,6,0.78229,0.10241,0.07626,0.02077,0.01631,390,174009.9
108900053,1,2,5,11,8,0.3553,0.2043,0.16653,0.1442,0.04474,1342,625546.2
108900054,38,1,2,3,6,0.43421,0.34358,0.16104,0.01938,0.01171,2880,2555428.3
108900055,1,4,2,14,3,0.56242,0.34138,0.08129,0.00581,0.00429,987,499384.2
108900056,1,4,2,6,\N,0.85492,0.10577,0.03795,0.00136,\N,388,154615.7
108900057,1,4,2,6,11,0.78991,0.103,0.1003,0.00536,0.00144,709,254795.9
108900058,1,2,6,4,33,0.90529,0.05201,0.02305,0.01439,0.00332,509,175224.3
108900059,1,11,4,2,28,0.46811,0.37313,0.07828,0.07289,0.00695,301,241513.4
108900060,1,2,4,3,83,0.41857,0.21537,0.15294,0.05984,0.05078,288,166198.3
108900061,1,2,3,6,4,0.48811,0.32652,0.07827,0.03198,0.02703,1987,982810.2
108900062,1,4,2,6,27,0.70266,0.17261,0.10894,0.00836,0.00536,867,341782.6
108900063,1,6,2,4,33,0.74272,0.21704,0.02737,0.0076,0.00332,534,174931.7
108900064,1,2,4,5,30,0.6499,0.21817,0.08486,0.02238,0.00754,757,223883.2
108900065,1,5,2,4,6,0.81608,0.113,0.0486,0.01248,0.0082,756,223930.3
108900066,1,2,4,3,83,0.6574,0.1317,0.05083,0.04252,0.03972,140,212510.0
108900067,1,4,2,6,3,0.7222,0.12863,0.12688,0.00792,0.00643,951,334428.4
108900068,1,6,4,2,27,0.72168,0.1693,0.04539,0.04487,0.01131,710,214305.0
108900069,1,11,2,4,3,0.54314,0.40972,0.04293,0.00351,0.0007,316,219945.3
108900070,1,5,2,6,9,0.69739,0.12068,0.11962,0.0524,0.00562,673,209691.3
108900071,1,38,2,3,4,0.51354,0.19288,0.10755,0.05327,0.04029,155,270165.3
108900072,1,2,3,8,11,0.43834,0.24372,0.21043,0.03739,0.02218,1176,720011.6
108900073,1,2,6,4,27,0.68989,0.13978,0.11778,0.03379,0.00807,975,300313.6
108900074,1,2,4,3,\N,0.97564,0.01718,0.00607,0.00111,\N,326,138918.5
108900075,1,5,2,6,9,0.53462,0.22138,0.21045,0.01245,0.01032,471,114305.5
108900076,1,38,12,2,4,0.50684,0.21127,0.07041,0.05741,0.04413,102,246648.8
108900077,1,2,11,5,6,0.53894,0.14262,0.12116,0.115,0.04683,1763,743770.5
108900078,1,2,6,3,4,0.90128,0.08209,0.00678,0.00639,0.00347,222,121527.7
108900079,1,2,5,6,9,0.65283,0.18612,0.13353,0.01301,0.00622,605,189501.7
108900080,38,1,2,3,8,0.42386,0.29784,0.16208,0.05244,0.01865,3094,2617833.6
108900081,1,2,4,3,8,0.57891,0.17747,0.10197,0.07237,0.03098,2254,1027510.9
108900082,1,4,3,\N,\N,0.99332,0.0049,0.00178,\N,\N,132,86140.1
108900083,38,1,2,3,4,0.40007,0.32726,0.18196,0.03863,0.01347,3247,2773509.7
108900084,1,2,3,8,5,0.49315,0.27269,0.10838,0.04572,0.02589,1774,922504.8
108900085,1,2,11,5,8,0.44397,0.19722,0.13427,0.11208,0.03099,2118,929427.9
